Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR14415,1. Seizure,Singapore,2/5/2018 0:00,"Objects made from rhino horn, 2 Asian black bear teeth and ivory products seized in Jurong West",Elephantidae,Elephants,Ivory - Worked,2,,,,,
MOR14415,1. Seizure,Singapore,2/5/2018 0:00,"Objects made from rhino horn, 2 Asian black bear teeth and ivory products seized in Jurong West",Ursus thibetanus,"Asian Black Bear, Himalayan Black Bear, Oso de collar, Oso negro de Asia, Ours à collier, Ours de l'Himalaya, Ours noir d'Asie",Teeth,2,,,,,
MOR14416,1. Seizure,China,3/1/2018 0:00,"13 pieces of suspected ivory and 157.2 grams of suspected rhino horn seized in Mohan Township, Mengla County",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn Pieces - Raw,,0.157199994,Kilograms,,,
MOR14416,1. Seizure,China,3/1/2018 0:00,"13 pieces of suspected ivory and 157.2 grams of suspected rhino horn seized in Mohan Township, Mengla County",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Carvings,4,,,,,
MOR14416,1. Seizure,China,3/1/2018 0:00,"13 pieces of suspected ivory and 157.2 grams of suspected rhino horn seized in Mohan Township, Mengla County",Elephantidae,Elephants,Ivory - Worked,13,,,,,
MOR14417,1. Seizure,China,3/30/2018 0:00,"Two rhino horns seized at Kunming Airport, one male suspect arrested",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,2,6.980000019,Kilograms,,,
MOR14418,1. Seizure,China,4/1/2018 0:00,"Part of Operation Thunder, 353.kg of ivory and 6.8kg of rhino horn seized in Guangdong Province",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,,6.800000191,Kilograms,,,
MOR14418,1. Seizure,China,4/1/2018 0:00,"Part of Operation Thunder, 353.kg of ivory and 6.8kg of rhino horn seized in Guangdong Province",Elephantidae,Elephants,Ivory Pieces - Raw,,325.5,Kilograms,,,
MOR14419,1. Seizure,China,4/1/2018 0:00,"Part of Operation Thunder, Yunnan authorities seized 53 rhino horn and suspected elephant tusk",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn Pieces - Raw,53,,,,,
MOR14419,1. Seizure,China,4/1/2018 0:00,"Part of Operation Thunder, Yunnan authorities seized 53 rhino horn and suspected elephant tusk",Elephantidae,Elephants,Tusk,1,,,,,
MOR14420,1. Seizure,Sudan,4/1/2018 0:00,"Rhino horn carved into walking stick seized in Rumbek, staff member of NGO detained",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Other (See Description Notes),1,,,,,
MOR14421,1. Seizure,Nepal,5/1/2018 0:00,"1 Rhino horn seized in Kathmandu, four suspects arrested",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,1,,,,,
